DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200106,9O6VYJ01,25241,PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       
20200106,9O6VYJ01,25975,PEN DRIVE SONY MINI METALICO USM16MX 16GB    
20200106,58869501,25981,SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  
20200106,99N7D301,26578,SMARTPHONE MOTOROLA MOTO E6 PLUS 64GB AZ NET 
20200106,99N7D301,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200106,65783101,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200106,65783101,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200106,9OOUFK01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200106,9OGROI01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200105,99KB1O01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200104,61606801,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200104,78847501,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200104,9OIRQJ01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200104,9OIRQJ01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200104,22243701,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200104,22243701,25355,"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        "
20200104,99FMQ301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200104,9O04CW01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200104,9O04CW01,26423,CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER
20200104,74751301,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200104,16468001,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200104,16468001,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200103,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200103,99E0BX01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200103,99E0BX01,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200103,60307801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20200103,60307801,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200103,99F0GX01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200103,99F0GX01,25871,SMARTPHONE LG K12 PLUS PRETO                 
20200103,06719601,25981,SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  
20200102,20930401,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200102,52782401,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200102,11972601,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200102,21625301,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20200102,99FLS501,25870,TABLET NB296 M7S LITE 8GB PRETO              
20200102,9O9XAL01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20200102,YYZ6FQ01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191231,35430701,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191231,99MWU801,15558,PEN DRIVE 8GB PD687 TWIST ROSA               
20191231,99MWU801,21823,PEN DRIVE SONY R 8GB USMRGR                  
20191231,99MWU801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191231,99AY4F01,20966,PEN DRIVE 32GB PD589 TWIST PRETO             
20191230,9OEGLR01,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20191230,50006201,26330,CAIXA BLUETOOTH BS16B 16W SEMP TCL           
20191230,60307801,19729,PEN DRIVE 8GB PD587 TWIST PRETO              
20191230,60307801,25240,PEN DRIVE MC161 2X1 LEITOR USB SD 8G         
20191230,99QCWH01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191230,99B26X01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
20191228,9NZZHM01,25243,PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   
